Enabled,Enabled
"Method Name","Method Name"
"Sort Order","Sort Order"
Title,Title
"Pass Key","Pass Key"
"Price for first 15 kg","Price for first 15 kg"
"Price for Additional per kg","Price for Additional per kg"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
